년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2022-01,AIH,KJ,에어인천,국제,YNT,도착,정기,화물,0,0,0,343177,0,0,0
2022-01,AIH,KJ,에어인천,국제,YNT,출발,정기,화물,0,0,0,468223,0,0,0
2022-01,ALK,UL,스리랑칸 에어라인즈,국제,CMB,도착,부정기,여객,560,0,3,52112,0,2816,14523
2022-01,ALK,UL,스리랑칸 에어라인즈,국제,CMB,출발,부정기,여객,451,3,6,49475,0,723,17312
2022-01,AMX,AM,AEROMEXICO,국제,MEX,도착,정기,여객,1061,9,16,25504,0,0,30706
2022-01,AMX,AM,AEROMEXICO,국제,MEX,출발,정기,여객,971,17,85,89371,0,0,36435
2022-01,AMX,AM,AEROMEXICO,국제,MEX,출발,부정기,여객,136,1,7,7174,0,0,5914
2022-01,ANA,NH,전일본항공,국제,NRT,도착,정기,화물,0,0,0,694523,6627,113686,0
2022-01,ANA,NH,전일본항공,국제,NRT,출발,정기,화물,0,0,0,847522,0,75024,0
2022-01,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,도착,정기,여객,82,3,0,15068,0,215,2721
2022-01,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,도착,부정기,화물,0,0,0,107884,0,305,0
2022-01,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,출발,정기,여객,24,0,0,14845,0,674,723
2022-01,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,출발,부정기,화물,0,0,0,129978,0,4906,0
2022-01,APZ,YP,에어 프레미아,국제,ICN,도착,부정기,여객,263,0,0,0,0,0,0
2022-01,APZ,YP,에어 프레미아,국제,ICN,출발,부정기,여객,263,0,0,0,0,0,0
2022-01,APZ,YP,에어 프레미아,국제,SGN,도착,부정기,화물,0,0,0,106715,0,0,0
2022-01,APZ,YP,에어 프레미아,국제,SGN,출발,부정기,화물,0,0,0,54426,0,0,0
2022-01,APZ,YP,에어 프레미아,국제,SIN,도착,부정기,화물,0,0,0,69140,0,23374,0
2022-01,APZ,YP,에어 프레미아,국제,SIN,출발,부정기,화물,0,0,0,50874,0,0,0
2022-01,ASV,RS,에어서울,국제,TAO,도착,정기,여객,450,0,26,0,0,0,9355
2022-01,ASV,RS,에어서울,국제,TAO,출발,정기,여객,447,2,2,0,0,0,9706
2022-01,ASV,RS,에어서울,국제,YNT,도착,정기,여객,244,0,0,297,0,0,4941
2022-01,ASV,RS,에어서울,국제,YNT,출발,정기,여객,243,1,0,2154,0,0,5864
2022-01,AZG,7L,실크웨이웨스트항공,국제,GYD,도착,정기,화물,0,0,0,509281,0,0,0
2022-01,AZG,7L,실크웨이웨스트항공,국제,GYD,도착,부정기,화물,0,0,0,151116,0,0,0
2022-01,AZG,7L,실크웨이웨스트항공,국제,GYD,출발,정기,화물,0,0,0,975185,0,3546,0
2022-01,AZG,7L,실크웨이웨스트항공,국제,GYD,출발,부정기,화물,0,0,0,178931,0,0,0
2022-01,AZG,7L,실크웨이웨스트항공,국제,KIX,도착,정기,화물,0,0,0,43705,0,0,0
2022-01,BAV,QH,뱀부항공,국제,CXR,출발,부정기,여객,199,8,380,0,0,0,19092
2022-01,BAV,QH,뱀부항공,국제,DAD,출발,부정기,여객,8,0,311,0,0,0,12662
2022-01,BAV,QH,뱀부항공,국제,HAN,도착,부정기,화물,0,0,0,315986,1540,20263,0
2022-01,BAV,QH,뱀부항공,국제,HAN,도착,부정기,여객,0,0,0,1690,0,1690,0
2022-01,BAV,QH,뱀부항공,국제,HAN,출발,부정기,화물,0,0,0,286136,0,4471,0
2022-01,BAV,QH,뱀부항공,국제,HAN,출발,부정기,여객,1902,98,57,0,0,0,52984
2022-01,BAV,QH,뱀부항공,국제,SGN,도착,부정기,화물,0,0,0,83007,0,0,0
2022-01,BAV,QH,뱀부항공,국제,SGN,도착,부정기,여객,0,0,0,33722,0,0,0
2022-01,BAV,QH,뱀부항공,국제,SGN,출발,부정기,화물,0,0,0,17411,0,0,0
2022-01,BAV,QH,뱀부항공,국제,SGN,출발,부정기,여객,606,16,625,8524,0,0,45649
2022-01,BAV,QH,뱀부항공,국제,VII,출발,부정기,여객,204,13,0,0,0,0,5607
2022-01,BOX,3S,에어로로직,국제,HKG,출발,정기,화물,0,0,0,60702,0,0,0
2022-01,BOX,3S,에어로로직,국제,LEJ,도착,정기,화물,0,0,0,1619461,0,0,0
2022-01,BOX,3S,에어로로직,국제,LEJ,도착,부정기,화물,0,0,0,63277,0,0,0
2022-01,BOX,3S,에어로로직,국제,LEJ,출발,정기,화물,0,0,0,60944,0,0,0
2022-01,CAL,CI,중화항공,국제,TPE,도착,부정기,화물,0,0,0,753517,0,96429,0
2022-01,CAL,CI,중화항공,국제,TPE,출발,부정기,화물,0,0,0,689662,0,12440,0
2022-01,CAL,CI,중화항공,국제,TPE,출발,부정기,여객,46,5,6,59039,0,0,1322
